# 대체 실습 데이터 — 앱스토어/플레이스토어 리뷰 60건 (2026년 2분기)
# 가상의 배달 서비스 "빈살롱 딜리버리"를 대상으로 교육용으로 만든 데이터입니다. 실제 고객 데이터가 아닙니다.
# 형식: 날짜 | 스토어 | 앱 버전 | 별점 | 리뷰 내용

2026-04-02 | 앱스토어 | 3.1.4 | ★5 | 주문한 지 18분 만에 도착했어요. 국물 요리인데 하나도 안 새서 놀랐습니다.
2026-04-16 | 앱스토어 | 3.1.5 | ★3 | 배달은 빨랐는데 소스 뚜껑이 열려서 가방 안에서 다 새어 있었어요.
2026-04-17 | 플레이스토어 | 3.1.5 | ★5 | 할인 쿠폰이 제대로 적용됐고 결제도 매끄러웠습니다. 다음에도 이용할게요.
2026-04-18 | 앱스토어 | 3.1.5 | ★2 | 로그인이 자꾸 풀려요. 주문할 때마다 비밀번호를 다시 넣어야 해서 번거롭습니다.
2026-04-19 | 플레이스토어 | 3.1.5 | ★4 | 메뉴 옵션 선택이 다양해서 좋은데, 리뷰 작성 화면이 눈에 띄게 느립니다.
2026-04-20 | 앱스토어 | 3.1.5 | ★1 | 주문을 취소했는데도 결제가 그대로 승인됐어요. 확인 부탁드립니다.
2026-04-21 | 플레이스토어 | 3.1.5 | ★3 | 배달하시는 분은 친절했는데 도착 알림이 늦게 와서 음식이 문 앞에 20분 놓여 있었어요.
2026-04-22 | 앱스토어 | 3.1.5 | ★5 | 이벤트 쿠폰 안내가 명확하고 적용도 쉬웠어요. 전체적으로 만족스러운 경험이었습니다.
2026-04-24 | 플레이스토어 | 3.2.0 | ★1 | 업데이트하고 나서 앱이 계속 튕겨요. 장바구니 담다가 세 번 꺼졌습니다.
2026-04-25 | 앱스토어 | 3.2.0 | ★1 | 3.2.0 버전으로 올린 뒤 결제 화면에서 흰 화면만 뜨고 넘어가지 않습니다.
2026-04-26 | 플레이스토어 | 3.2.0 | ★2 | 새 버전에서 장바구니가 자꾸 비워져요. 담아두고 나갔다 오면 사라집니다.
2026-04-27 | 앱스토어 | 3.2.0 | ★4 | 새 디자인은 깔끔해서 좋아요. 다만 재주문 버튼 위치가 바뀌어서 한참 찾았습니다.
2026-04-28 | 플레이스토어 | 3.2.0 | ★1 | 앱 실행하면 로딩 화면에서 멈춥니다. 껐다 켜도 같아요. 기기는 갤럭시 S24입니다.
2026-04-29 | 앱스토어 | 3.2.0 | ★3 | 주문은 잘 됐는데 배달 현황 지도가 갱신되지 않아 지금 어디쯤인지 알 수 없었어요.
2026-04-30 | 플레이스토어 | 3.2.0 | ★5 | 30분 예상이었는데 22분에 도착했어요. 음식도 따뜻했습니다.
2026-05-02 | 앱스토어 | 3.2.0 | ★2 | 첫 주문 할인 쿠폰이 결제 단계에서 사라져요. 장바구니에서는 적용되어 보였는데요.
2026-05-03 | 플레이스토어 | 3.2.1 | ★1 | 카드 결제 실패가 반복되는데 실패 이유를 안 알려줘요. 다른 앱에서는 같은 카드가 됩니다.
2026-05-04 | 앱스토어 | 3.2.1 | ★4 | 포장 상태 좋고 양도 넉넉했어요. 배달 시간은 예상보다 10분 늦었습니다.
2026-05-05 | 플레이스토어 | 3.2.1 | ★5 | 어린이날에 주문이 많았을 텐데 시간 내에 잘 도착했어요. 고생 많으셨습니다.
2026-05-06 | 앱스토어 | 3.2.1 | ★2 | 리뷰에 사진을 올리면 앱이 종료돼요. 세 번 시도하고 포기했습니다.
2026-05-07 | 플레이스토어 | 3.2.1 | ★1 | 취소했는데 환불이 5일 넘게 안 들어와요. 고객센터는 순차 처리 중이라는 답변만 반복합니다.
2026-05-08 | 앱스토어 | 3.2.1 | ★3 | 최소 주문 금액이 가게마다 다른 건 알겠는데, 담고 나서야 안내가 떠서 다시 고르게 됩니다.
2026-05-09 | 플레이스토어 | 3.2.1 | ★5 | 요청사항에 적은 대로 소스를 따로 담아 주셨어요. 세심해서 좋았습니다.
2026-05-10 | 앱스토어 | 3.2.1 | ★2 | 배달비가 주문 직전에 1,500원 더 붙었어요. 할증 안내를 미리 보여줘야 하지 않나요.
2026-05-11 | 플레이스토어 | 3.2.1 | ★4 | 전반적으로 만족하는데 알림이 너무 많아요. 마케팅 알림만 따로 끌 수 있으면 좋겠습니다.
2026-05-13 | 앱스토어 | 3.2.1 | ★1 | 같은 주문이 두 번 결제됐습니다. 결제 버튼을 한 번만 눌렀는데요.
2026-05-14 | 플레이스토어 | 3.2.1 | ★3 | 국물이 살짝 새어 있었어요. 배달은 빨랐습니다.
2026-05-15 | 앱스토어 | 3.2.1 | ★5 | 대기 시간 안내가 실제와 거의 같았고 알림도 정확했어요. 이 정도면 훌륭합니다.
2026-05-16 | 플레이스토어 | 3.2.2 | ★2 | 앱 튕김은 좀 나아졌는데 로그인 유지가 여전히 안 돼요. 매번 다시 로그인합니다.
2026-05-18 | 앱스토어 | 3.2.2 | ★4 | 새 버전에서 속도가 빨라졌어요. 다만 쿠폰함이 어디 있는지 찾기 어렵습니다.
2026-05-19 | 플레이스토어 | 3.2.2 | ★1 | 배달원이 문 앞에 놓고 갔다는데 음식이 없었어요. 사진도 다른 집 현관입니다.
2026-05-20 | 앱스토어 | 3.2.2 | ★3 | 고객센터 답변은 친절했지만 하루 반이 걸렸어요. 급한 문제였는데 아쉽습니다.
2026-05-21 | 플레이스토어 | 3.2.2 | ★5 | 포장 꼼꼼하고 국물도 안 샜습니다. 재주문 버튼이 있어서 편해요.
2026-05-22 | 앱스토어 | 3.2.2 | ★2 | 예상 시간이 15분에서 45분으로 갑자기 늘었는데 왜 그런지 설명이 없었어요.
2026-05-24 | 플레이스토어 | 3.2.2 | ★4 | 메뉴 설명이 자세해서 고르기 편했어요. 사진과 실물 차이도 크지 않았습니다.
2026-05-25 | 앱스토어 | 3.2.2 | ★1 | 결제 오류가 났는데 카드에서는 승인이 됐어요. 이런 경우 어디에 문의해야 하는지 앱에 안내가 없습니다.
2026-05-26 | 플레이스토어 | 3.2.2 | ★3 | 배달은 정시였지만 음식이 식어 있었어요. 보온 포장이 아쉽습니다.
2026-05-27 | 앱스토어 | 3.2.2 | ★5 | 주문 취소를 바로 눌렀더니 즉시 처리되고 환불도 다음 날 들어왔어요. 빨라서 좋았습니다.
2026-05-28 | 플레이스토어 | 3.2.2 | ★2 | 리뷰 이벤트 포인트가 지급되지 않았어요. 조건은 다 맞췄습니다.
2026-05-30 | 앱스토어 | 3.2.2 | ★4 | 자주 주문하는 가게 저장 기능이 편해요. 알림 설정이 조금 복잡한 건 아쉽습니다.
2026-06-01 | 플레이스토어 | 3.2.3 | ★1 | 앱을 켜면 로그인 화면이 계속 반복돼요. 아이디 입력해도 다시 로그인 화면으로 돌아갑니다.
2026-06-02 | 앱스토어 | 3.2.3 | ★5 | 비 오는 날인데도 30분 안에 왔고 포장도 젖지 않았어요. 감사합니다.
2026-06-03 | 플레이스토어 | 3.2.3 | ★2 | 쿠폰 유효기간이 결제 화면에서만 보여요. 담을 때 알 수 있으면 좋겠습니다.
2026-06-04 | 앱스토어 | 3.2.3 | ★3 | 도착 알림은 왔는데 실제로는 아직 조리 중이었어요. 알림 순서가 뒤바뀐 것 같습니다.
2026-06-05 | 플레이스토어 | 3.2.3 | ★4 | 전체적으로 개선된 게 느껴집니다. 환불 진행 상황을 볼 수 있으면 완벽할 것 같아요.
2026-06-07 | 앱스토어 | 3.2.3 | ★1 | 환불 처리 상태를 물어보려고 세 번 문의했는데 매번 다른 답변을 받았습니다.
2026-06-08 | 플레이스토어 | 3.2.3 | ★5 | 요청한 대로 벨 누르지 않고 두고 가주셨어요. 배달 메모가 잘 전달되는 것 같습니다.
2026-06-09 | 앱스토어 | 3.2.3 | ★2 | 배달비 무료 조건을 맞췄는데 결제 화면에서 배달비가 붙었어요. 조건 안내가 헷갈립니다.
2026-06-10 | 플레이스토어 | 3.2.3 | ★4 | 음식 품질은 꾸준히 좋아요. 앱 안정성만 조금 더 개선되면 별 다섯 개 주겠습니다.
